name,lat,lon,alt_km,status
"Marathon, ON",48.754,-86.379,0.0,operational
"Marcell, MN",47.593,-93.6941,0.0,operational
"Marsala, Italy",37.7986,12.4357,0.0,operational
"Mazahua, Mexico",19.65,-100.05,0.0,operational
"McGregor, TX",31.44,-97.41,0.0,operational
"Merida, Mexico",20.9674,-89.5926,0.0,operational
"Merredin, Australia",-31.4833,118.2833,0.0,operational
"Merrillan, WI",44.45,-90.8333,0.0,operational
"Mesa, AZ",33.4212,-111.8592,0.0,operational
"Miami, FL",25.7915,-80.3797,0.0,operational
"Milano, Italy",45.4642,9.19,0.0,operational
"Milwaukee, WI",43.1512,-88.0088,0.0,operational
"Minneapolis, MN",44.9709,-93.2544,0.0,operational
"Molokai, HI",21.1333,-157.0167,0.0,operational
Monterey,36.2231,-121.3877,0.0,operational
Montes Carlos,9.2895,-75.3994,0.0,operational
"Mossoró, Brazil",-5.1878,-37.3441,0.0,operational
"Mt. Ayr, IN",39.975,-87.3036,0.0,operational
"Muallim, Turkey",40.0333,30.05,0.0,operational
"Murayjat, Oman",23.588,58.545,0.0,operational
"Myrtle Beach, SC",33.71,-78.8958,0.0,operational
"Nemaha, NE",40.3408,-95.6708,0.0,operational
"New Braunfels, TX",29.703,-98.1245,0.0,operational
"New York, NY",40.7178,-74.0083,0.0,operational
"Niland, CA",33.2205,-115.4668,0.0,operational
"Nome, AK",64.5011,-165.4064,0.0,operational
"Norcross, GA",33.941,-84.2135,0.0,operational
"North Miami, FL",25.9496,-80.1918,0.0,operational
"Northlake, IL",41.92,-87.9113,0.0,operational
"Noviciado, Chile",-33.4167,-70.9333,0.0,operational
"Otaru, Japan",43.1907,140.9945,0.0,operational
"Oxford, AL",33.5936,-85.8768,0.0,operational
"Panaca, NV",37.8,-114.39,0.0,operational
"Perry, FL",30.0616,-83.5805,0.0,operational
"Peñuelas, Mexico",21.8422,-102.3344,0.0,operational
"Phoenix, AZ",33.6841,-112.0983,0.0,operational
"Pimba, Australia",-31.2833,136.8,0.0,operational
"Pine Valley, CA",32.7014,-116.3651,0.0,operational
"Piscataway, NJ",40.5434,-74.498,0.0,operational
"Piti, GU",13.4156,144.6879,0.0,operational
"Ponce, PR",18.0111,-66.6141,0.0,operational
"Port St. Lucie, FL",27.2813,-80.4831,0.0,operational
"Porto Alegre, Brazil",-30.0346,-51.2177,0.0,operational
"Presidente Prudente, Brazil",-22.1257,-51.3875,0.0,operational
"Prosser, WA",46.2068,-119.7687,0.0,operational
"Prudhoe Bay, AK",70.2466,-148.569,0.0,operational
"Puerto Montt, Chile",-41.4689,-72.9411,0.0,operational
"Puerto Saavedra, Chile",-38.7833,-73.3833,0.0,operational
"Punta Arenas, Chile",-53.1638,-70.9171,0.0,operational
"Punta Gorda, FL",26.9298,-82.0454,0.0,operational
"Puwera, NZ",-35.8,174.2333,0.0,operational
"Redmond, WA",47.674,-122.1215,0.0,operational
"Rio Negro, Brazil",-26.105,-49.7978,0.0,operational
"Riverside, GA",33.8151,-84.4601,0.0,operational
"Robbins, CA",38.875,-121.70705555555556,0.0,operational
"Robertsdale, AL",30.55,-87.71,0.0,operational
"Rolette County, ND",48.6604,-99.8105,0.0,operational
"Rolette, ND",48.6597,-99.8406,0.0,operational
"Roll, AZ",32.8128,-113.9953,0.0,operational
"Saguenay, QC",48.4279,-71.0548,0.0,operational
"Salem, OR",44.9453,-122.8886,0.0,operational
"Salt Lake City, UT",40.5861,-111.968,0.0,operational
"Sambro Creek, NS",44.4833,-63.6,0.0,operational
"San Clemente, Chile",-35.5333,-71.4833,0.0,operational
"San Jose, CA",37.2422,-121.7844,0.0,operational
"Sanderson, TX",30.1421,-102.3949,0.0,operational
"Sandston, VA",37.4901,-77.2461,0.0,operational
"Santa Clara, CA",37.3992,-121.9803,0.0,operational
"Santa Elena, Chile",-36.8167,-72.0167,0.0,operational
"Santiago de los Caballeros, DR",19.4517,-70.697,0.0,operational
"Seattle, WA",47.5832,-122.3251,0.0,operational
"Secaucus, NJ",40.7855,-74.0686,0.0,operational
"Shakopee, MN",44.7797,-93.4627,0.0,operational
"Slope County, ND",46.45,-103.95,0.0,operational
"Springbrook Creek, Australia",-24.8333,152.1167,0.0,operational
"Springer, OK",34.2853,-97.1317,0.0,operational
"St James, MN",44.0515,-94.5346,0.0,operational
"St. John's, NL",47.5615,-52.7126,0.0,operational
"Sterling, VA",38.985,-77.4239,0.0,operational
"Sullivan, ME",44.5314,-68.2022,0.0,operational
"Sunnyvale, CA",37.4117,-122.0217,0.0,operational
"Sunset, TX",33.4486,-97.7767,0.0,operational
"Surrency, GA",31.6829,-82.2697,0.0,operational
"Surubim, Brazil",-7.8311,-35.7531,0.0,operational
"Sussex, NJ",41.2018,-74.5263,0.0,operational
"Suva, Fiji",-18.1416,178.4419,0.0,operational
"Tapachula, Mexico",14.9032,-92.2577,0.0,operational
"Te Hana, NZ",-36.2667,174.55,0.0,operational
"Tea Gardens, Australia",-32.6667,152.15,0.0,operational
"Thomaston, GA",32.9471,-84.2618,0.0,operational
"Tionesta, CA",41.1811,-122.8747,0.0,operational
"Toa Baja, PR",18.4441,-66.2545,0.0,operational
"Toonpan, Australia",-19.2833,146.75,0.0,operational
"Torrumbarry, Australia",-36.0333,144.5833,0.0,operational
"Tracy City, TN",35.2595,-85.7369,0.0,operational
"Tromsø, Norway",69.6496,18.956,0.0,operational
"Tucson, AZ",32.1701,-110.9577,0.0,operational
"Tukwila, WA",47.5089,-122.2994,0.0,operational
"Tulelake, CA",41.644,-121.3293,0.0,operational
"Uruguaiana, Brazil",-29.7547,-57.0883,0.0,operational
"Vernon, UT",40.09,-112.43,0.0,operational
"Villahermosa, Mexico",17.9893,-92.9472,0.0,operational
"Villarejo de Salvanes, Spain",40.1667,-3.2667,0.0,operational
Villenave d’Ornon,44.7738,-0.5595,0.0,operational
"Virginia Beach, VA",36.7838,-76.0093,0.0,operational
"Wagin, Australia",-33.3167,117.35,0.0,operational
"Wailuku, HI",20.9005,-156.5046,0.0,operational
"Warra, Australia",-26.9833,150.9333,0.0,operational
"Warren, MO",38.7728,-91.1643,0.0,operational
"Watkins, CO",39.7582,-104.617,0.0,operational
"Weehawken, NJ",40.7616,-74.0253,0.0,operational
"Wellington, UT",39.5401,-110.6928,0.0,operational
"West Jordan, UT",40.6198,-111.9863,0.0,operational
"Westbury, NY",40.7559,-73.5579,0.0,operational
"Westminster, CO",39.8845,-105.0802,0.0,operational
"Willemstad, Curaçao",12.1696,-68.99,0.0,operational
"Wise, VA",36.977333,-82.528,0.0,operational
"Wola Krobowska, Poland",50.35,20.55,0.0,operational
"Yamaguchi, Japan",34.1861,131.4706,0.0,operational
